V0,V-1,V-2,V-3,I0,ID0,dd-1,dd-2,dd-3,dv-1,dv-2,dv-3,dID-1,dID-2,dID-3,tag
1.9607,2.2137,2.2137,2.2137,11.273,387.5,-0.019684,-0.013955,0.040903,-0.0025299,0,0,-0.17272,0.35812,-0.15419,8
1.3915,1.9607,2.2137,2.2137,11.133,382.71,0.016325,-0.019684,-0.013955,-0.0028462,-0.0025299,0,-0.023912,-0.17272,0.35812,8
1.4547,1.3915,1.9607,2.2137,10.971,385.69,-0.0055246,0.016325,-0.019684,0.00063249,-0.0028462,-0.0025299,0.029815,-0.023912,-0.17272,8
1.0752,1.4547,1.3915,1.9607,10.716,376.74,-0.003063,-0.0055246,0.016325,-0.00097306,0.00063249,-0.0028462,-0.022957,0.029815,-0.023912,8
1.1385,1.0752,1.4547,1.3915,10.944,384.74,0.034187,-0.003063,-0.0055246,0.00063249,-0.00097306,0.00063249,0.079989,-0.022957,0.029815,8
-1.3282,1.1385,1.0752,1.4547,11.257,395.74,-0.002335,0.034187,-0.003063,-0.0011367,0.00063249,-0.00097306,0.0050676,0.079989,-0.022957,8
-1.3915,-1.3282,1.1385,1.0752,11.156,383.5,0.049499,-0.002335,0.034187,-0.00063249,-0.0011367,0.00063249,-0.12241,0.0050676,0.079989,8
-1.3282,-1.3915,-1.3282,1.1385,11.57,397.71,-0.00011899,0.049499,-0.002335,0.00021083,-0.00063249,-0.0011367,0.047368,-0.12241,0.0050676,8
-1.3915,-1.5812,1.518,1.265,11.27,378.61,0.046909,-0.038906,-0.012485,0.0018975,-0.034436,0.00253,-0.088065,-2.747,-0.36717,8
-1.3282,-1.3915,-1.5812,1.518,11.562,388.42,-0.0036476,0.046909,-0.038906,0.00031625,0.0018975,-0.034436,0.049067,-0.088065,-2.747,8
-1.3282,-1.3282,-1.3915,-1.5812,11.28,378.93,-0.0047311,-0.0036476,0.046909,0,0.00031625,0.0018975,-0.094943,0.049067,-0.088065,8
1.3915,-1.3282,-1.3282,-1.3915,9.7604,655.78,0.0062366,-0.0047311,-0.0036476,0.027197,0,0.00031625,2.7685,-0.094943,0.049067,8
-1.3282,1.3915,-1.3282,-1.3282,11.649,382.24,-0.015858,0.0062366,-0.0047311,-0.013599,0.027197,0,-1.3677,2.7685,-0.094943,8
-1.3282,-1.3282,1.3915,-1.3282,11.647,382.17,0.049809,-0.015858,0.0062366,0,-0.013599,0.027197,-0.00082035,-1.3677,2.7685,8
-1.4547,-1.3282,-1.3282,1.3915,11.554,379.1,-0.03535,0.049809,-0.015858,-0.001265,0,-0.013599,-0.030615,-0.00082035,-1.3677,8
-1.7077,-1.4547,-1.3282,-1.3282,10.773,345.09,0.0062921,-0.03535,0.049809,-0.001265,-0.001265,0,-0.17008,-0.030615,-0.00082035,8
-1.5812,-1.7077,-1.4547,-1.3282,11.321,362.62,-0.0012497,0.0062921,-0.03535,0.00042166,-0.001265,-0.001265,0.058422,-0.17008,-0.030615,8
-1.7077,-1.5812,-1.7077,-1.4547,11.088,355.18,0.0088948,-0.0012497,0.0062921,-0.001265,0.00042166,-0.001265,-0.074395,0.058422,-0.17008,8
-1.771,-1.7077,-1.5812,-1.7077,11.241,360.07,0.05195,0.0088948,-0.0012497,-0.00070277,-0.001265,0.00042166,0.054421,-0.074395,0.058422,8
-1.4547,-1.771,-1.7077,-1.5812,11.634,363.55,-0.034776,0.05195,0.0088948,0.0031624,-0.00070277,-0.001265,0.034741,0.054421,-0.074395,8
-1.518,-1.4547,-1.771,-1.7077,11.384,355.75,0.041828,-0.034776,0.05195,-0.00063249,0.0031624,-0.00070277,-0.077984,0.034741,0.054421,8
